PING 10.1.1.1 (10.1.1.1) 56(84) bytes of data.
64 字节，来自 10.1.1.1: icmp_seq=239 ttl=63 时间=80.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=240 ttl=63 时间=81.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=241 ttl=63 时间=79.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=242 ttl=63 时间=82.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=244 ttl=63 时间=81.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=246 ttl=63 时间=81.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=247 ttl=63 时间=0.131 毫秒
64 字节，来自 10.1.1.1: icmp_seq=248 ttl=63 时间=81.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=249 ttl=63 时间=80.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=250 ttl=63 时间=79.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=252 ttl=63 时间=81.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=253 ttl=63 时间=81.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=254 ttl=63 时间=81.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=255 ttl=63 时间=81.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=256 ttl=63 时间=81.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=257 ttl=63 时间=0.140 毫秒
64 字节，来自 10.1.1.1: icmp_seq=258 ttl=63 时间=82.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=260 ttl=63 时间=81.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=261 ttl=63 时间=0.176 毫秒
64 字节，来自 10.1.1.1: icmp_seq=262 ttl=63 时间=82.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=263 ttl=63 时间=68.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=264 ttl=63 时间=68.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=266 ttl=63 时间=67.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=267 ttl=63 时间=69.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=268 ttl=63 时间=67.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=269 ttl=63 时间=2.70 毫秒
64 字节，来自 10.1.1.1: icmp_seq=270 ttl=63 时间=68.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=272 ttl=63 时间=68.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=274 ttl=63 时间=67.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=275 ttl=63 时间=0.115 毫秒
64 字节，来自 10.1.1.1: icmp_seq=276 ttl=63 时间=67.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=277 ttl=63 时间=68.0 毫秒
